"[[0], [1]]",[]
"[[0, 1, 2], [3, 4, 5], [6, 7, 8], [9, 10, 11]]","[(2, 4), (6, 11), (7, 9), (5, 6), (0, 5), (1, 3), (4, 7)]"
"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]","[(8, 14), (0, 4), (5, 11), (1, 5), (3, 7), (9, 12), (2, 6), (11, 15), (6, 9), (7, 8)]"
"[[0, 1, 2, 3, 4], [5, 6, 7, 8, 9], [10, 11, 12, 13, 14], [15, 16, 17, 18, 19]]","[(2, 7), (12, 16), (11, 19), (1, 8), (8, 10), (10, 17), (5, 13), (4, 5), (3, 9), (7, 12), (9, 14), (14, 18), (13, 15)]"
"[[0, 1, 2, 3, 4, 5], [6, 7, 8, 9, 10, 11], [12, 13, 14, 15, 16, 17], [18, 19, 20, 21, 22, 23]]","[(10, 15), (0, 7), (17, 20), (5, 8), (11, 13), (4, 6), (9, 12), (8, 16), (12, 19), (6, 17), (2, 9), (16, 23), (1, 10), (13, 21), (15, 18), (3, 11)]"
"[[0, 1, 2, 3, 4, 5, 6], [7, 8, 9, 10, 11, 12, 13], [14, 15, 16, 17, 18, 19, 20], [21, 22, 23, 24, 25, 26, 27]]","[(7, 17), (15, 27), (12, 16), (5, 7), (1, 12), (6, 11), (18, 22), (17, 23), (10, 14), (8, 20), (11, 19), (16, 24), (20, 21), (4, 10), (3, 8), (0, 9), (14, 26), (19, 25), (9, 18)]"
"[[0, 1, 2, 3, 4, 5, 6, 7], [8, 9, 10, 11, 12, 13, 14, 15], [16, 17, 18, 19, 20, 21, 22, 23], [24, 25, 26, 27, 28, 29, 30, 31]]","[(16, 29), (21, 25), (14, 19), (23, 28), (2, 11), (11, 17), (10, 21), (9, 23), (19, 27), (20, 31), (5, 15), (17, 26), (8, 20), (13, 16), (15, 22), (18, 24), (3, 14), (4, 13), (22, 30), (0, 9), (1, 10), (7, 8)]"
"[[0, 1, 2, 3, 4, 5, 6, 7, 8], [9, 10, 11, 12, 13, 14, 15, 16, 17], [18, 19, 20, 21, 22, 23, 24, 25, 26], [27, 28, 29, 30, 31, 32, 33, 34, 35]]","[(25, 35), (26, 30), (3, 13), (21, 31), (14, 25), (17, 18), (11, 23), (19, 27), (10, 24), (24, 29), (15, 26), (18, 28), (4, 17), (20, 34), (0, 16), (9, 22), (1, 14), (13, 19), (16, 21), (7, 15), (5, 11), (8, 10), (22, 33), (23, 32), (2, 9)]"
"[[0], [1], [2], [3], [4]]","[(1, 2), (2, 3), (3, 4)]"
"[[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]]","[(3, 4), (6, 9), (0, 2), (5, 6), (2, 5), (1, 3)]"
"[[0, 1, 2], [3, 4, 5], [6, 7, 8], [9, 10, 11], [12, 13, 14]]","[(9, 13), (5, 8), (6, 11), (7, 10), (8, 9), (10, 12), (0, 5), (3, 6), (11, 14), (1, 3), (4, 7)]"
"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15], [16, 17, 18, 19]]","[(0, 7), (5, 11), (13, 17), (1, 4), (14, 16), (8, 13), (11, 15), (6, 10), (4, 8), (3, 6), (12, 18), (15, 19), (2, 5), (10, 12)]"
"[[0, 1, 2, 3, 4], [5, 6, 7, 8, 9], [10, 11, 12, 13, 14], [15, 16, 17, 18, 19], [20, 21, 22, 23, 24]]","[(6, 12), (16, 20), (12, 16), (5, 10), (17, 24), (1, 9), (11, 17), (7, 13), (4, 5), (8, 11), (0, 7), (19, 23), (18, 21), (15, 22), (3, 8), (2, 6), (10, 19), (13, 18)]"
"[[0, 1, 2, 3, 4, 5], [6, 7, 8, 9, 10, 11], [12, 13, 14, 15, 16, 17], [18, 19, 20, 21, 22, 23], [24, 25, 26, 27, 28, 29]]","[(16, 20), (3, 7), (12, 19), (20, 26), (23, 28), (9, 14), (14, 18), (17, 23), (1, 8), (7, 15), (15, 22), (18, 24), (4, 10), (5, 11), (22, 27), (21, 29), (8, 16), (10, 13), (11, 12), (2, 9), (19, 25), (13, 21)]"
"[[0, 1, 2, 3, 4, 5, 6], [7, 8, 9, 10, 11, 12, 13], [14, 15, 16, 17, 18, 19, 20], [21, 22, 23, 24, 25, 26, 27], [28, 29, 30, 31, 32, 33, 34]]","[(24, 30), (5, 7), (21, 31), (9, 14), (22, 29), (19, 21), (2, 8), (13, 17), (6, 11), (25, 34), (12, 15), (3, 12), (20, 22), (23, 33), (17, 23), (11, 19), (10, 20), (15, 25), (16, 24), (26, 28), (7, 18), (18, 27), (4, 13), (8, 16), (14, 26), (27, 32), (1, 10)]"
"[[0, 1, 2, 3, 4, 5, 6, 7], [8, 9, 10, 11, 12, 13, 14, 15], [16, 17, 18, 19, 20, 21, 22, 23], [24, 25, 26, 27, 28, 29, 30, 31], [32, 33, 34, 35, 36, 37, 38, 39]]","[(26, 33), (12, 19), (20, 26), (29, 35), (5, 10), (23, 25), (9, 17), (0, 14), (19, 24), (7, 13), (16, 28), (14, 18), (8, 23), (1, 8), (13, 16), (28, 38), (24, 34), (3, 11), (25, 39), (18, 27), (21, 29), (22, 30), (31, 36), (27, 32), (2, 12), (11, 21), (17, 31), (10, 22), (30, 37), (6, 9)]"
"[[0, 1, 2, 3, 4, 5, 6, 7, 8], [9, 10, 11, 12, 13, 14, 15, 16, 17], [18, 19, 20, 21, 22, 23, 24, 25, 26], [27, 28, 29, 30, 31, 32, 33, 34, 35], [36, 37, 38, 39, 40, 41, 42, 43, 44]]","[(18, 29), (3, 10), (8, 9), (14, 22), (10, 18), (27, 37), (19, 27), (28, 42), (13, 23), (7, 16), (25, 31), (15, 20), (16, 25), (26, 35), (35, 44), (12, 21), (23, 33), (17, 26), (22, 34), (1, 11), (31, 43), (11, 19), (34, 36), (6, 13), (24, 28), (30, 41), (33, 40), (32, 38), (20, 30), (21, 32), (29, 39), (5, 17), (0, 15), (2, 12), (9, 24)]"
